,Genotype,Treatment.1
2_DF_cortex_ko_control_13,2,2
2_DF_cortex_ko_control_14,2,1
2_DF_cortex_ko_control_5,2,1
2_DF_cortex_ko_treatment_13,2,2
2_DF_cortex_ko_treatment_14,2,2
2_DF_cortex_ko_treatment_5,2,2
2_DF_cortex_wt_control_1,1,1
2_DF_cortex_wt_control_2,1,1
2_DF_cortex_wt_control_3,1,1
2_DF_cortex_wt_control_4,1,1
2_DF_cortex_wt_treatment_1,1,2
2_DF_cortex_wt_treatment_2,1,2
2_DF_cortex_wt_treatment_3,1,2
4_DF_cortex_ko_control_15,2,1
4_DF_cortex_ko_control_16,2,1
4_DF_cortex_ko_control_17,2,1
4_DF_cortex_ko_treatment_15,2,2
4_DF_cortex_ko_treatment_16,2,2
4_DF_cortex_ko_treatment_18,2,2
4_DF_cortex_wt_control_5,1,1
4_DF_cortex_wt_control_6,1,1
4_DF_cortex_wt_treatment_4_correct,1,2
4_DF_cortex_wt_treatment_5,1,2
4_DF_cortex_wt_treatment_6,1,2
